,units,long_name,cell_methods,var,dims,source,htape,time_period_freq,Sampling_Sequence,mdims,mixing_ratio
0,1,Total Aerosol Optical Depth in visible band,time: mean,AEROD_v,time ncol,CAM,h0a,month_1,,,
1,J/kg,Convectively available potential energy,time: mean,CAPE,time ncol,CAM,h0a,month_1,,,
2,fraction,Vertically-integrated high cloud from   5000. to  40000. Pa,time: mean,CLDHGH,time ncol,CAM,h0a,month_1,rad_lwsw,,
3,kg/kg,Grid box averaged cloud ice amount,time: mean,CLDICE,time lev ncol,CAM,h0a,month_1,,1.0,wet
4,kg/kg,Grid box averaged cloud liquid amount,time: mean,CLDLIQ,time lev ncol,CAM,h0a,month_1,,1.0,wet
5,fraction,Vertically-integrated low cloud from  70000. to 120000. Pa,time: mean,CLDLOW,time ncol,CAM,h0a,month_1,rad_lwsw,,
6,fraction,Vertically-integrated mid-level cloud from  40000. to  70000. Pa,time: mean,CLDMED,time ncol,CAM,h0a,month_1,rad_lwsw,,
7,fraction,Vertically-integrated total cloud,time: mean,CLDTOT,time ncol,CAM,h0a,month_1,rad_lwsw,,
8,fraction,Cloud fraction,time: mean,CLOUD,time lev ncol,CAM,h0a,month_1,rad_lwsw,1.0,
9,fraction,Convective cloud cover,time: mean,CONCLD,time lev ncol,CAM,h0a,month_1,,1.0,
10,kg/kg/s,Q tendency due to moist processes,time: mean,DCQ,time lev ncol,CAM,h0a,month_1,,1.0,
11,K/s,T tendency - moist processes,time: mean,DTCOND,time lev ncol,CAM,h0a,month_1,,1.0,
12,K/s,T vertical diffusion,time: mean,DTV,time lev ncol,CAM,h0a,month_1,,1.0,
13,1,cloud emissivity,time: mean,EMIS,time lev ncol,CAM,h0a,month_1,rad_lwsw,1.0,
14,fraction,Fractional ice content within cloud,time: mean,FICE,time lev ncol,CAM,h0a,month_1,,1.0,
15,W/m2,Downwelling longwave flux at surface,time: mean,FLDS,time ncol,CAM,h0a,month_1,rad_lwsw,,
16,W/m2,Clearsky downwelling longwave flux at surface,time: mean,FLDSC,time ncol,CAM,h0a,month_1,rad_lwsw,,
17,W/m2,Net longwave flux at surface,time: mean,FLNS,time ncol,CAM,h0a,month_1,rad_lwsw,,
18,W/m2,Clearsky net longwave flux at surface,time: mean,FLNSC,time ncol,CAM,h0a,month_1,rad_lwsw,,
19,W/m2,Net longwave flux at top of model,time: mean,FLNT,time ncol,CAM,h0a,month_1,rad_lwsw,,
20,W/m2,Clearsky net longwave flux at top of model,time: mean,FLNTC,time ncol,CAM,h0a,month_1,rad_lwsw,,
21,W/m2,Upwelling longwave flux at top of model,time: mean,FLUT,time ncol,CAM,h0a,month_1,rad_lwsw,,
22,W/m2,Clearsky upwelling longwave flux at top of model,time: mean,FLUTC,time ncol,CAM,h0a,month_1,rad_lwsw,,
23,W/m2,Downwelling solar flux at surface,time: mean,FSDS,time ncol,CAM,h0a,month_1,rad_lwsw,,
24,W/m2,Clearsky downwelling solar flux at surface,time: mean,FSDSC,time ncol,CAM,h0a,month_1,rad_lwsw,,
25,W/m2,Downwelling solar flux at top of atmosphere,time: mean,FSDTOA,time ncol,CAM,h0a,month_1,rad_lwsw,,
26,W/m2,Net solar flux at surface,time: mean,FSNS,time ncol,CAM,h0a,month_1,rad_lwsw,,
27,W/m2,Clearsky net solar flux at surface,time: mean,FSNSC,time ncol,CAM,h0a,month_1,rad_lwsw,,
28,W/m2,Net solar flux at top of model,time: mean,FSNT,time ncol,CAM,h0a,month_1,rad_lwsw,,
29,W/m2,Clearsky net solar flux at top of model,time: mean,FSNTC,time ncol,CAM,h0a,month_1,rad_lwsw,,
30,W/m2,Net solar flux at top of atmosphere,time: mean,FSNTOA,time ncol,CAM,h0a,month_1,rad_lwsw,,
31,W/m2,Clearsky net solar flux at top of atmosphere,time: mean,FSNTOAC,time ncol,CAM,h0a,month_1,rad_lwsw,,
