,units,long_name,cell_methods,cell_measures,time_avg_info,var,dims,source,htape,time_period_freq,interp_method,standard_name
0,W m-2,Heat flux into ocean from mass flux into ocean,area:mean yh:mean xh:mean time: mean,area: area_t,"average_T1,average_T2,average_DT",Heat_PmE,time yh xh,MOM,hmcust_avg,month_1,,
1,m2 s-2,Layer kinetic energy per unit mass,area:mean zl:mean yh:mean xh:mean time: mean,volume: volcello area: area_t,"average_T1,average_T2,average_DT",KE,time zl yh xh,MOM,hmcust_avg,month_1,,
2,m-1 s-1,Potential Vorticity,zl:mean yq:point xq:point time: mean,,"average_T1,average_T2,average_DT",PV,time zl yq xq,MOM,hmcust_avg,month_1,none,
3,s-1,Relative Vorticity,zl:mean yq:point xq:point time: mean,,"average_T1,average_T2,average_DT",RV,time zl yq xq,MOM,hmcust_avg,month_1,none,
4,m m-1,Ratio between deformation radius and grid spacing,area:mean yh:mean xh:mean time: mean,area: area_t,"average_T1,average_T2,average_DT",Rd_dx,time yh xh,MOM,hmcust_avg,month_1,,
5,m,Sea Surface Height,area:mean yh:mean xh:mean time: mean,area: area_t,"average_T1,average_T2,average_DT",SSH,time yh xh,MOM,hmcust_avg,month_1,,
6,m s-1,Sea Surface Zonal Velocity,yh:mean xq:point time: mean,,"average_T1,average_T2,average_DT",SSU,time yh xq,MOM,hmcust_avg,month_1,none,
7,m s-1,Sea Surface Meridional Velocity,yq:point xh:mean time: mean,,"average_T1,average_T2,average_DT",SSV,time yq xh,MOM,hmcust_avg,month_1,none,
8,W,Advective (by residual mean) Zonal Flux of Heat,zl:sum yh:sum xq:point time: mean,,"average_T1,average_T2,average_DT",T_adx,time zl yh xq,MOM,hmcust_avg,month_1,none,
9,W,Vertically Integrated Advective Zonal Flux of Heat,yh:sum xq:point time: mean,,"average_T1,average_T2,average_DT",T_adx_2d,time yh xq,MOM,hmcust_avg,month_1,none,
10,W,Advective (by residual mean) Meridional Flux of Heat,zl:sum yq:point xh:sum time: mean,,"average_T1,average_T2,average_DT",T_ady,time zl yq xh,MOM,hmcust_avg,month_1,none,
11,W,Vertically Integrated Advective Meridional Flux of Heat,yq:point xh:sum time: mean,,"average_T1,average_T2,average_DT",T_ady_2d,time yq xh,MOM,hmcust_avg,month_1,none,
12,W,Vertically Integrated Diffusive Zonal Flux of Heat,yh:sum xq:point time: mean,,"average_T1,average_T2,average_DT",T_diffx_2d,time yh xq,MOM,hmcust_avg,month_1,none,
13,W,Vertically Integrated Diffusive Meridional Flux of Heat,yq:point xh:sum time: mean,,"average_T1,average_T2,average_DT",T_diffy_2d,time yq xh,MOM,hmcust_avg,month_1,none,
14,,Length of average period,time: mean,,,average_DT,time,MOM,hmcust_avg,month_1,,
15,,Start time for average period,time: mean,,,average_T1,time,MOM,hmcust_avg,month_1,,
16,,End time for average period,time: mean,,,average_T2,time,MOM,hmcust_avg,month_1,,
17,m4 s-1,Ocean lateral biharmonic viscosity,area:mean zl:mean yh:mean xh:mean time: mean,volume: volcello area: area_t,"average_T1,average_T2,average_DT",difmxybo,time zl yh xh,MOM,hmcust_avg,month_1,,ocean_momentum_xy_biharmonic_diffusivity
18,m2 s-1,Ocean lateral Laplacian viscosity,area:mean zl:mean yh:mean xh:mean time: mean,volume: volcello area: area_t,"average_T1,average_T2,average_DT",difmxylo,time zl yh xh,MOM,hmcust_avg,month_1,,ocean_momentum_xy_laplacian_diffusivity
19,m2 s-1,Ocean Tracer Diffusivity due to Parameterized Mesoscale Advection,area:mean zl:mean yh:mean xh:mean time: mean,volume: volcello area: area_t,"average_T1,average_T2,average_DT",diftrblo,time zl yh xh,MOM,hmcust_avg,month_1,,ocean_tracer_diffusivity_due_to_parameterized_mesoscale_advection
20,m2 s-1,Ocean Tracer Epineutral Laplacian Diffusivity,area:mean zi:point yh:mean xh:mean time: mean,area: area_t,"average_T1,average_T2,average_DT",diftrelo,time zi yh xh,MOM,hmcust_avg,month_1,,ocean_tracer_epineutral_laplacian_diffusivity
21,m,Interface Height Relative to Mean Sea Level,area:mean zi:point yh:mean xh:mean time: mean,area: area_t,"average_T1,average_T2,average_DT",e,time zi yh xh,MOM,hmcust_avg,month_1,,
22,kg m-2 s-1,Water Evaporation Flux Where Ice Free Ocean over Sea,area:mean yh:mean xh:mean time: mean,area: area_t,"average_T1,average_T2,average_DT",evs,time yh xh,MOM,hmcust_avg,month_1,,water_evaporation_flux
23,kg m-2 s-1,Water Flux into Seawater from Icebergs,area:mean yh:mean xh:mean time: mean,area: area_t,"average_T1,average_T2,average_DT",ficeberg,time yh xh,MOM,hmcust_avg,month_1,,water_flux_into_sea_water_from_icebergs
24,kg m-2 s-1,Water Flux into Sea Water From Rivers,area:mean yh:mean xh:mean time: mean,area: area_t,"average_T1,average_T2,average_DT",friver,time yh xh,MOM,hmcust_avg,month_1,,water_flux_into_sea_water_from_rivers
25,kg m-2 s-1,water flux to ocean from sea ice melt(> 0) or form(< 0),area:mean yh:mean xh:mean time: mean,area: area_t,"average_T1,average_T2,average_DT",fsitherm,time yh xh,MOM,hmcust_avg,month_1,,water_flux_into_sea_water_due_to_sea_ice_thermodynamics
26,m,Layer Thickness,area:mean zl:sum yh:mean xh:mean time: mean,volume: volcello area: area_t,"average_T1,average_T2,average_DT",h,time zl yh xh,MOM,hmcust_avg,month_1,,
27,W m-2,Surface ocean heat flux from SW+LW+latent+sensible+masstransfer+frazil+seaice_melt_heat,area:mean yh:mean xh:mean time: mean,area: area_t,"average_T1,average_T2,average_DT",hfds,time yh xh,MOM,hmcust_avg,month_1,,surface_downward_heat_flux_in_sea_water
28,W m-2,Surface Downward Latent Heat Flux due to Evap + Melt Snow/Ice,area:mean yh:mean xh:mean time: mean,area: area_t,"average_T1,average_T2,average_DT",hflso,time yh xh,MOM,hmcust_avg,month_1,,surface_downward_latent_heat_flux
29,W m-2,Heat Flux into Sea Water due to Frazil Ice Formation,area:mean yh:mean xh:mean time: mean,area: area_t,"average_T1,average_T2,average_DT",hfsifrazil,time yh xh,MOM,hmcust_avg,month_1,,heat_flux_into_sea_water_due_to_frazil_ice_formation
30,W m-2,Latent Heat to Melt Frozen Precipitation,area:mean yh:mean xh:mean time: mean,area: area_t,"average_T1,average_T2,average_DT",hfsnthermds,time yh xh,MOM,hmcust_avg,month_1,,heat_flux_into_sea_water_due_to_snow_thermodynamics
