,dt,sstlat,sstval,tid,clat,clon,minsep,psamb,psmin,dp,rmw_target,rmw_final,rp,zp,exppr
0,0005-02-02 00:00:00,-12.0,307.89,1295648,-8.193423948562094,109.7638807176507,74.56340994211679,101682.45887213993,,35.89443530503188,318051.29878301534,318100.0,344062.5,,
1,0005-02-03 00:00:00,-12.0,307.86,1296105,-17.773107631257233,130.72759721425567,26.750631055378413,101808.50876378277,,33.414331910035784,241410.49680602778,241400.0,273125.0,,
2,0005-02-04 00:00:00,-13.5,307.85,1296560,-5.813035975152008,200.66444115672402,16.371900671048902,101710.1630122244,,35.39368632267907,328824.6324573341,328800.0,349375.0,,
3,0005-02-05 00:00:00,-13.5,307.86,1297020,-6.440971643282568,110.27014186516587,16.787812391767396,101705.3673926429,,20.234922514446275,277225.0377486544,277200.0,296875.0,,
4,0005-02-06 00:00:00,-13.5,307.85,1297482,-14.652945830063004,295.9182874287269,84.17107515188376,101682.6296205374,,22.999856105732196,318919.8871526588,318900.0,372500.0,,
5,0005-02-07 00:00:00,-13.0,307.82,1297963,-8.415226969894707,108.69597963798519,31.072660140926494,101801.56460301988,,37.121039778034245,299807.2884063931,299900.0,323437.5,,
6,0005-02-08 00:00:00,-13.0,307.8,1298481,-13.539094651455946,324.16520261246416,33.86115388330697,101862.73363199901,,38.84393650735021,273813.4686085293,273900.0,303750.0,,
7,0005-02-09 00:00:00,-12.5,307.76,1298931,-7.942670274005042,56.431602533474845,25.655521000384944,101577.85893690608,,16.178171963111318,244115.2733782114,244200.0,264687.5,,
8,0005-02-10 00:00:00,-12.5,307.74,1299402,-7.121176126939702,19.719832018237017,16.96607385199656,101721.34912535243,,29.706378336410616,376064.78765341174,376000.0,409687.5,,
9,0005-02-11 00:00:00,-12.5,307.68,1299914,-12.158027433545687,130.23981704567538,52.726704405911434,101877.55604440358,,15.69923254654077,325642.2812088784,325700.0,381250.0,,
10,0005-02-12 00:00:00,-12.5,307.66,1300691,-7.884107369949202,91.32319725258345,22.40005639230913,101790.56672758114,,33.15396054672924,344711.0210584074,344700.0,374687.5,,
11,0005-02-13 00:00:00,-13.0,307.65,1385795,-14.115597640394768,102.18323346438481,18.518028827824384,101656.1609005126,,28.126930592660663,355304.819343454,355200.0,413750.0,,
12,0005-02-14 00:00:00,-13.5,307.64,1386218,-13.963436371339268,37.14333067706675,26.391559893106468,101862.83869699703,,26.982529742869225,382696.63875067205,382800.0,451250.0,,
13,0005-02-15 00:00:00,-13.5,307.6,1386651,-7.50851617007447,19.98161190118677,15.867142513720312,101714.83413689505,,32.96862686055198,385148.936535605,385200.0,420781.25,,
14,0005-02-16 00:00:00,-13.5,307.62,1387160,-8.817693036362858,230.66680083051855,46.11132220140941,101874.83272413911,,38.36616185513232,347118.3149563251,347200.0,379218.75,,
15,0005-02-17 00:00:00,-13.0,307.59,1387594,-18.170581970654037,207.90068775224668,18.272141953314925,101857.44002242565,,38.59215327813971,215383.70715337462,215400.0,240000.0,,
16,0005-02-18 00:00:00,-13.5,307.6,1388057,-13.013231192661916,150.66742218029881,32.90564029579885,101797.02827372066,,23.492052792809133,256100.6908950472,256100.0,286875.0,,
17,0005-02-19 00:00:00,-13.0,307.59,1388535,-10.314549522554367,356.4319209308059,16.78995006098353,101650.97598820685,,38.81644154875765,365693.96615241247,365600.0,406250.0,,
18,0005-02-20 00:00:00,-13.0,307.53,1389013,-7.647487085433568,287.41528373233996,42.667251181577356,101583.04572790572,,21.004465914562445,429530.56516200467,429500.0,483125.0,,
19,0005-02-21 00:00:00,-13.0,307.49,1389666,-14.090418270316931,253.22111365604644,28.411478069176376,101609.27456846632,,38.83485382146915,295201.62239413563,295200.0,330937.5,,
20,0005-02-22 00:00:00,-13.0,307.47,1390228,-5.114287519205787,145.90822175317166,21.08371722132746,101747.23812691476,,26.222601634865775,358719.77489954256,358800.0,382500.0,,
21,0005-02-23 00:00:00,-13.0,307.52,1390801,-11.0931802349503,346.7136841927727,16.8989415726712,101951.94620787744,,35.95883605341824,271853.1469630487,271900.0,297187.5,,
22,0005-02-24 00:00:00,-12.5,307.49,1391382,-17.939187613341964,358.24869742788195,18.243044189491187,102067.53122513507,,38.95568837207131,426751.1693004162,426800.0,518593.75,,
23,0005-02-25 00:00:00,-12.5,307.44,1392008,-19.981593187138177,218.5776666645384,16.920649352921743,101669.65831729883,,20.366710107698314,441124.3109583565,441100.0,586250.0,,
24,0005-02-26 00:00:00,-12.5,307.44,1392602,-13.25478893303449,83.83285695581503,26.92049953767046,101786.41066183882,,17.746550335177286,313197.40396166634,313200.0,365937.5,,
25,0005-02-27 00:00:00,-12.5,307.45,1393247,-15.087198120625441,180.8779102432159,42.818866653503626,101845.2883228631,,19.167265759704648,155829.61940004947,155800.0,170312.5,,
26,0005-02-28 00:00:00,-12.5,307.51,1393886,-12.33723121046297,272.95312644006884,35.61667034768988,101742.07437061553,,24.77017541205474,233777.90991538973,233700.0,257656.25,,
27,0005-03-01 00:00:00,-12.5,307.54,1394473,-19.350854701942175,45.41091360723195,28.279986303524005,101747.01648346065,,30.758113498435172,326165.25572244124,326100.0,390312.5,,
28,0005-03-02 00:00:00,-12.5,307.53,1395088,-8.044282456357973,325.20391686585697,21.15295265144205,101817.86013424947,,24.4731195782416,373708.37958769605,373600.0,413750.0,,
29,0005-03-03 00:00:00,-12.5,307.57,1395724,-12.587339454549388,87.11908195201326,18.775515517740573,101734.5034135543,,27.379041064944175,203904.252741717,203900.0,221875.0,,
30,0005-03-04 00:00:00,-12.5,307.56,1396308,-6.0582611722716955,68.47362582482388,17.07664983252805,101687.40681098483,,26.641904945390824,254868.05871097857,254900.0,269218.75,,
31,0005-03-05 00:00:00,-12.5,307.6,1396882,-8.465822420117957,37.4422031654487,20.314562093012533,101700.2468039536,,24.206789463953157,166120.36849196308,166100.0,175000.0,,
32,0005-03-06 00:00:00,-12.5,307.61,1397426,-17.714893683988493,146.88905824167063,38.78018627384948,101942.8953047452,,32.21926452891138,440432.6044517013,440500.0,545312.5,,
33,0005-03-07 00:00:00,-12.5,307.61,1397988,-19.700056226768496,254.37782589154807,27.66415222390163,101806.60385059254,,29.02219372656875,161015.60152957012,161100.0,177812.5,,
34,0005-03-08 00:00:00,-12.5,307.63,1398698,-7.19673621275294,289.7895790709571,21.35470007654687,101744.11818614679,,18.613734822757554,197952.69369837883,198000.0,209687.5,,
35,0005-03-09 00:00:00,-12.5,307.64,1399351,-11.128639127214944,146.46037744630488,19.35164866134486,101781.56956504623,,26.60908291901912,292763.7831377665,292700.0,325468.75,,
36,0005-03-10 00:00:00,-12.0,307.59,1399943,-5.41585333103702,311.4403025703294,32.40700242429009,101944.03548918347,,36.82976952749968,249760.03532438586,249700.0,261250.0,,
37,0005-03-11 00:00:00,-12.0,307.55,1403179,-8.122472404945631,168.61294964744087,34.52829763176135,101746.05263700153,,27.327063924174873,366236.6236336357,366200.0,403437.5,,
38,0005-03-12 00:00:00,-12.0,307.55,1403921,-16.23801129532801,258.2658179798994,15.182639716838302,101813.79063135556,,21.718398622842926,176741.63772144457,176700.0,195625.0,,
39,0005-03-13 00:00:00,-12.0,307.5,1405128,-9.969763744763544,202.75663068139772,45.658712456786716,101549.6337766513,,26.310025708179253,449952.0387898414,449900.0,518750.0,,
40,0005-03-14 00:00:00,-12.0,307.45,1412069,-9.709624656858152,341.705371326375,64.3688093106548,101677.20012719547,,35.64569289851718,286588.66606447083,286600.0,311406.25,,
41,0005-03-15 00:00:00,-11.5,307.39,1412706,-7.662306180478048,120.36408154923454,32.618733283058226,101693.0794622119,,21.24540275588815,284372.7169747923,284300.0,308125.0,,
