dt,ncol,lon,lat,pres,wspd,year,month,day,hour,mdstr,doy,stmnum,isgen,islys
2005-02-01 06:00:00,297965.0,185.792728,-19.201424,99972.99,35.44665,2005.0,02,01,6.0,2-1,32.0,0,True,False
2005-02-01 12:00:00,297966.0,186.0,-19.194777,99063.14,37.80925,2005.0,02,01,12.0,2-1,32.0,0,False,False
2005-02-01 18:00:00,296892.0,186.0,-19.401177,99372.29,36.64288,2005.0,02,01,18.0,2-1,32.0,0,False,False
2005-02-02 00:00:00,296899.0,186.207317,-19.394232,98985.7,36.12954,2005.0,02,02,0.0,2-2,33.0,0,False,False
2005-02-02 06:00:00,296892.0,186.0,-19.401177,98396.81,43.98635,2005.0,02,02,6.0,2-2,33.0,0,False,False
2005-02-02 12:00:00,297964.0,185.457314,-19.211687,99281.1,43.32242,2005.0,02,02,12.0,2-2,33.0,0,False,False
2005-02-02 18:00:00,296882.0,185.042726,-19.430189,99293.69,38.66409,2005.0,02,02,18.0,2-2,33.0,0,False,False
2005-02-03 00:00:00,296874.0,184.5,-19.444404,98325.45,44.05278,2005.0,02,03,0.0,2-3,34.0,0,False,False
2005-02-03 06:00:00,297939.0,183.75,-19.254446,98837.32,40.49637,2005.0,02,03,6.0,2-3,34.0,0,False,False
2005-02-03 12:00:00,297937.0,183.207306,-19.264718,99137.94,43.8755,2005.0,02,03,12.0,2-3,34.0,0,False,False
2005-02-03 18:00:00,297933.0,183.0,-18.933166,98217.71,42.78073,2005.0,02,03,18.0,2-3,34.0,0,False,False
2005-02-04 00:00:00,297932.0,182.792716,-18.936385,98776.4,41.25463,2005.0,02,04,0.0,2-4,35.0,0,False,False
2005-02-04 06:00:00,296847.0,182.25,-19.486099,98678.68,41.81387,2005.0,02,04,6.0,2-4,35.0,0,False,False
2005-02-04 12:00:00,296846.0,182.042714,-19.488543,98220.54,50.20837,2005.0,02,04,12.0,2-4,35.0,0,False,False
2005-02-04 18:00:00,296845.0,181.7073,-19.491996,98817.89,38.59982,2005.0,02,04,18.0,2-4,35.0,0,False,False
2005-02-05 00:00:00,296831.0,181.292712,-20.038012,98765.27,39.95755,2005.0,02,05,0.0,2-5,36.0,0,False,False
2005-02-05 06:00:00,296832.0,181.5,-20.036386,98606.67,37.34579,2005.0,02,05,6.0,2-5,36.0,0,False,False
2005-02-05 12:00:00,295765.0,181.707301,-20.24174,98523.16,40.31757,2005.0,02,05,12.0,2-5,36.0,0,False,False
2005-02-05 18:00:00,294677.0,181.292712,-20.995121,99358.34,35.2806,2005.0,02,05,18.0,2-5,36.0,0,False,False
2005-02-06 00:00:00,294656.0,179.792705,-21.207167,99634.52,35.64563,2005.0,02,06,0.0,2-6,37.0,0,False,False
2005-02-06 06:00:00,294649.0,178.707288,-20.995121,99673.13,33.87118,2005.0,02,06,6.0,2-6,37.0,0,False,False
2005-02-06 12:00:00,295709.0,177.542696,-20.440039,99959.5,28.41791,2005.0,02,06,12.0,2-6,37.0,0,False,False
2005-02-06 18:00:00,,,,,,,,,,,,0,False,False
2005-02-07 00:00:00,,,,,,,,,,,,0,False,False
2005-02-07 06:00:00,296754.0,174.75,-19.630956,100065.7,31.38765,2005.0,02,07,6.0,2-7,38.0,0,False,False
2005-02-07 12:00:00,296745.0,174.0,-19.607595,99290.99,37.57803,2005.0,02,07,12.0,2-7,38.0,0,False,False
2005-02-07 18:00:00,296736.0,173.25,-19.581122,99978.22,30.70261,2005.0,02,07,18.0,2-7,38.0,0,False,False
2005-02-08 00:00:00,296725.0,171.957263,-19.528195,100316.5,29.25914,2005.0,02,08,0.0,2-8,39.0,0,False,False
2005-02-08 06:00:00,,,,,,,,,,,,0,False,False
2005-02-08 12:00:00,295611.0,169.5,-20.142494,100381.4,30.84482,2005.0,02,08,12.0,2-8,39.0,0,False,False
2005-02-08 18:00:00,296689.0,168.957251,-19.369826,100471.6,24.68513,2005.0,02,08,18.0,2-8,39.0,0,False,False
2005-02-09 00:00:00,296669.0,167.792658,-19.624518,100747.9,25.10853,2005.0,02,09,0.0,2-9,40.0,0,False,False
2005-02-09 06:00:00,296652.0,166.5,-19.531397,100761.7,26.89561,2005.0,02,09,6.0,2-9,40.0,0,False,False
2005-02-09 12:00:00,296633.0,164.792648,-19.394141,100756.1,26.11293,2005.0,02,09,12.0,2-9,40.0,0,False,False
2005-02-09 18:00:00,,,,,,,,,,,,0,False,False
2005-02-10 00:00:00,,,,,,,,,,,,0,False,False
2005-02-10 06:00:00,,,,,,,,,,,,0,False,False
2005-02-10 12:00:00,297659.0,160.292638,-18.23963,101168.0,20.31674,2005.0,02,10,12.0,2-10,41.0,0,False,False
2005-02-10 18:00:00,297644.0,158.792636,-17.756791,101140.4,20.49417,2005.0,02,10,18.0,2-10,41.0,0,False,False
2005-02-11 00:00:00,297627.0,157.5,-17.606772,101233.3,21.53399,2005.0,02,11,0.0,2-11,42.0,0,False,False
2005-02-11 06:00:00,297608.0,155.792628,-17.395335,101162.9,21.58915,2005.0,02,11,6.0,2-11,42.0,0,False,False
2005-02-11 12:00:00,297595.0,154.707209,-17.562415,101319.6,19.55527,2005.0,02,11,12.0,2-11,42.0,0,False,False
2005-02-11 18:00:00,296495.0,152.792616,-17.481195,101241.2,20.13031,2005.0,02,11,18.0,2-11,42.0,0,False,False
2005-02-12 00:00:00,297552.0,151.5,-17.09969,101300.4,17.05043,2005.0,02,12,0.0,2-12,43.0,0,False,False
2005-02-12 06:00:00,294307.0,150.207181,-18.424352,100881.9,24.64257,2005.0,02,12,6.0,2-12,43.0,0,False,False
2005-02-12 12:00:00,295356.0,148.5,-17.940218,100998.5,19.03312,2005.0,02,12,12.0,2-12,43.0,0,False,False
2005-02-12 18:00:00,294272.0,147.542588,-17.947184,100937.5,22.10234,2005.0,02,12,18.0,2-12,43.0,0,False,False
2005-02-13 00:00:00,294251.0,146.042583,-17.840702,100905.8,27.90955,2005.0,02,13,0.0,2-13,44.0,0,False,False
