dt,ncol,lon,lat,pres,wspd,year,month,day,hour,mdstr,doy,stmnum,isgen,islys
2005-02-01 06:00:00,297965.0,185.792728,-19.201424,99972.99,35.44665,2005.0,02,01,6.0,2-1,32.0,0,True,False
2005-02-01 12:00:00,297966.0,186.0,-19.194777,99063.14,37.80918,2005.0,02,01,12.0,2-1,32.0,0,False,False
2005-02-01 18:00:00,296892.0,186.0,-19.401177,99371.53,36.64231,2005.0,02,01,18.0,2-1,32.0,0,False,False
2005-02-02 00:00:00,296899.0,186.207317,-19.394232,98988.84,36.29453,2005.0,02,02,0.0,2-2,33.0,0,False,False
2005-02-02 06:00:00,296892.0,186.0,-19.401177,98405.34,43.91714,2005.0,02,02,6.0,2-2,33.0,0,False,False
2005-02-02 12:00:00,297964.0,185.457314,-19.211687,99240.91,43.24183,2005.0,02,02,12.0,2-2,33.0,0,False,False
2005-02-02 18:00:00,296882.0,185.042726,-19.430189,99271.52,38.56474,2005.0,02,02,18.0,2-2,33.0,0,False,False
2005-02-03 00:00:00,296874.0,184.5,-19.444404,98288.88,44.69085,2005.0,02,03,0.0,2-3,34.0,0,False,False
2005-02-03 06:00:00,297939.0,183.75,-19.254446,98856.12,40.87415,2005.0,02,03,6.0,2-3,34.0,0,False,False
2005-02-03 12:00:00,297940.0,183.207305,-18.929717,99026.89,44.28109,2005.0,02,03,12.0,2-3,34.0,0,False,False
2005-02-03 18:00:00,297933.0,183.0,-18.933166,97978.23,45.94252,2005.0,02,03,18.0,2-3,34.0,0,False,False
2005-02-04 00:00:00,297932.0,182.792716,-18.936385,98248.91,45.64367,2005.0,02,04,0.0,2-4,35.0,0,False,False
2005-02-04 06:00:00,297921.0,182.25,-19.278932,98372.71,42.22138,2005.0,02,04,6.0,2-4,35.0,0,False,False
2005-02-04 12:00:00,296843.0,182.042714,-19.695734,98790.35,40.23639,2005.0,02,04,12.0,2-4,35.0,0,False,False
2005-02-04 18:00:00,296839.0,181.707301,-20.034518,98508.04,44.07006,2005.0,02,04,18.0,2-4,35.0,0,False,False
2005-02-05 00:00:00,296840.0,182.042715,-20.030984,98557.1,40.4679,2005.0,02,05,0.0,2-5,36.0,0,False,False
2005-02-05 06:00:00,295776.0,183.0,-20.224498,98606.37,39.80221,2005.0,02,05,6.0,2-5,36.0,0,False,False
2005-02-05 12:00:00,295790.0,184.292724,-20.404643,98699.52,41.94291,2005.0,02,05,12.0,2-5,36.0,0,False,False
2005-02-05 18:00:00,294728.0,185.792732,-21.108563,98012.66,43.94853,2005.0,02,05,18.0,2-5,36.0,0,False,False
2005-02-06 00:00:00,293665.0,186.957327,-21.810844,97354.33,48.76877,2005.0,02,06,0.0,2-6,37.0,0,False,False
2005-02-06 06:00:00,293673.0,188.25,-22.084301,98413.37,44.8508,2005.0,02,06,6.0,2-6,37.0,0,False,False
2005-02-06 12:00:00,293692.0,189.207337,-21.700844,99219.13,33.61136,2005.0,02,06,12.0,2-6,37.0,0,False,False
2005-02-06 18:00:00,293694.0,189.75,-21.669737,99619.05,30.57562,2005.0,02,06,18.0,2-6,37.0,0,False,False
2005-02-07 00:00:00,293702.0,190.292755,-21.636846,99811.69,29.22519,2005.0,02,07,0.0,2-7,38.0,0,False,False
2005-02-07 06:00:00,293706.0,190.5,-21.419031,99982.0,27.75036,2005.0,02,07,6.0,2-7,38.0,0,False,False
2005-02-07 12:00:00,293708.0,191.04276,-21.919396,99607.97,40.82225,2005.0,02,07,12.0,2-7,38.0,0,False,False
2005-02-07 18:00:00,293714.0,191.042757,-21.383951,99345.53,31.71725,2005.0,02,07,18.0,2-7,38.0,0,False,False
2005-02-08 00:00:00,293710.0,190.707344,-21.610524,99989.03,26.69396,2005.0,02,08,0.0,2-8,39.0,0,False,True
2005-02-01 18:00:00,209842.0,71.457273,9.966129,101554.1,14.65231,2005.0,02,01,18.0,2-1,32.0,1,True,False
2005-02-02 00:00:00,,,,,,,,,,,,1,False,False
2005-02-02 06:00:00,,,,,,,,,,,,1,False,False
2005-02-02 12:00:00,205570.0,75.957286,6.751337,101056.0,25.73265,2005.0,02,02,12.0,2-2,33.0,1,False,False
2005-02-02 18:00:00,,,,,,,,,,,,1,False,False
2005-02-03 00:00:00,208835.0,77.792695,9.533634,101109.0,22.80267,2005.0,02,03,0.0,2-3,34.0,1,False,False
