,dt,ncol,lon,lat,pres,wspd,year,month,day,hour,mdstr,doy,stmnum,isgen,islys,unseed_pt,istouched,tgt_hemi,righthemi,us_elig
0,2005-02-01 18:00:00,209842.0,71.457273,9.966129,101552.5,14.64686,2005.0,2.0,1.0,18.0,2-1,32.0,0,True,False,False,0,,False,False
1,2005-02-02 00:00:00,,,,,,,,,,,,0,False,False,False,0,,False,False
2,2005-02-02 06:00:00,,,,,,,,,,,,0,False,False,False,0,,False,False
3,2005-02-02 12:00:00,205570.0,75.957286,6.751337,101035.6,25.76121,2005.0,2.0,2.0,12.0,2-2,33.0,0,False,False,False,0,,False,False
4,2005-02-02 18:00:00,,,,,,,,,,,,0,False,False,False,0,,False,False
5,2005-02-03 00:00:00,208835.0,77.792695,9.533634,101094.9,22.79794,2005.0,2.0,3.0,0.0,2-3,34.0,0,False,False,False,0,,False,False
6,2005-02-03 06:00:00,206610.0,72.75,7.685392,101170.8,21.19736,2005.0,2.0,3.0,6.0,2-3,34.0,0,False,False,False,0,,False,False
7,2005-02-03 12:00:00,206592.0,71.25,7.621062,100722.0,27.35033,2005.0,2.0,3.0,12.0,2-3,34.0,0,False,False,False,0,,False,False
8,2005-02-03 18:00:00,207659.0,70.292693,7.968517,101161.8,19.71932,2005.0,2.0,3.0,18.0,2-3,34.0,0,False,False,False,0,,False,False
9,2005-02-04 00:00:00,207648.0,69.0,8.411072,101105.7,19.78078,2005.0,2.0,4.0,0.0,2-4,35.0,0,False,False,False,0,,False,False
10,2005-02-04 06:00:00,208704.0,67.5,8.517165,101176.2,20.9236,2005.0,2.0,4.0,6.0,2-4,35.0,0,False,False,False,0,,False,False
11,2005-02-04 12:00:00,208696.0,66.207273,8.744831,101080.8,20.50986,2005.0,2.0,4.0,12.0,2-4,35.0,0,False,False,False,0,,False,False
12,2005-02-04 18:00:00,208678.0,64.707272,8.642491,101267.8,19.78427,2005.0,2.0,4.0,18.0,2-4,35.0,0,False,False,False,0,,False,False
13,2005-02-05 00:00:00,,,,,,,,,,,,0,False,False,False,0,,False,False
14,2005-02-05 06:00:00,208638.0,61.5,8.587263,101165.1,21.72962,2005.0,2.0,5.0,6.0,2-5,36.0,0,False,True,False,0,,False,False
15,2005-02-02 12:00:00,463450.0,282.542712,5.857814,101167.2,20.98185,2005.0,2.0,2.0,12.0,2-2,33.0,1,True,False,False,0,,False,False
16,2005-02-02 18:00:00,463421.0,280.5,5.696357,101153.1,22.36407,2005.0,2.0,2.0,18.0,2-2,33.0,1,False,False,False,0,,False,False
17,2005-02-03 00:00:00,464475.0,278.457296,6.140316,101266.8,24.24234,2005.0,2.0,3.0,0.0,2-3,34.0,1,False,False,False,0,,False,False
18,2005-02-03 06:00:00,464451.0,276.207296,6.504681,101252.9,21.22323,2005.0,2.0,3.0,6.0,2-3,34.0,1,False,False,False,0,,False,False
19,2005-02-03 12:00:00,464426.0,274.5,6.522713,100174.8,32.56725,2005.0,2.0,3.0,12.0,2-3,34.0,1,False,False,False,0,,False,False
20,2005-02-03 18:00:00,465480.0,272.457294,6.950959,100728.1,31.61507,2005.0,2.0,3.0,18.0,2-3,34.0,1,False,False,False,0,,False,False
21,2005-02-04 00:00:00,465461.0,270.75,7.499365,100484.1,27.82991,2005.0,2.0,4.0,0.0,2-4,35.0,1,False,False,False,0,,False,False
22,2005-02-04 06:00:00,465443.0,269.25,7.499365,100437.6,28.25638,2005.0,2.0,4.0,6.0,2-4,35.0,1,False,False,False,0,,False,False
23,2005-02-04 12:00:00,465424.0,267.542705,7.493182,100994.7,24.80472,2005.0,2.0,4.0,12.0,2-4,35.0,1,False,False,False,0,,False,False
24,2005-02-04 18:00:00,466476.0,265.70729,7.685932,100830.2,31.48344,2005.0,2.0,4.0,18.0,2-4,35.0,1,False,False,False,0,,False,False
25,2005-02-05 00:00:00,466458.0,264.20729,7.668408,100830.9,25.89256,2005.0,2.0,5.0,0.0,2-5,36.0,1,False,False,False,0,,False,False
26,2005-02-05 06:00:00,466432.0,262.292702,7.638497,101166.8,21.65755,2005.0,2.0,5.0,6.0,2-5,36.0,1,False,False,False,0,,False,False
27,2005-02-05 12:00:00,466416.0,260.457287,7.932848,101202.3,24.30562,2005.0,2.0,5.0,12.0,2-5,36.0,1,False,False,False,0,,False,False
28,2005-02-05 18:00:00,466390.0,258.542699,7.884486,101109.2,25.0692,2005.0,2.0,5.0,18.0,2-5,36.0,1,False,False,False,0,,False,False
29,2005-02-06 00:00:00,466375.0,257.042698,8.042718,100881.8,23.06633,2005.0,2.0,6.0,0.0,2-6,37.0,1,False,False,False,0,,False,False
30,2005-02-06 06:00:00,466357.0,255.542697,7.992185,101042.9,24.42832,2005.0,2.0,6.0,6.0,2-6,37.0,1,False,False,False,0,,False,False
31,2005-02-06 12:00:00,467410.0,254.042696,8.135876,100927.6,27.14569,2005.0,2.0,6.0,12.0,2-6,37.0,1,False,False,False,0,,False,False
32,2005-02-06 18:00:00,467390.0,252.0,8.566207,100948.1,27.56673,2005.0,2.0,6.0,18.0,2-6,37.0,1,False,False,False,0,,False,False
33,2005-02-07 00:00:00,468442.0,250.292691,8.676489,100891.9,27.69332,2005.0,2.0,7.0,0.0,2-7,38.0,1,False,True,False,0,,False,False
34,2005-02-05 12:00:00,431905.0,257.042673,-15.899099,101277.7,14.99112,2005.0,2.0,5.0,12.0,2-5,36.0,2,True,False,False,1,,False,False
35,2005-02-05 18:00:00,430829.0,257.25,-16.646018,101206.0,14.7058,2005.0,2.0,5.0,18.0,2-5,36.0,2,False,False,False,1,,False,False
36,2005-02-06 00:00:00,429762.0,257.457256,-17.065163,101249.7,12.8402,2005.0,2.0,6.0,0.0,2-6,37.0,2,False,False,False,1,,False,False
37,2005-02-06 06:00:00,,,,,,,,,,,,2,False,False,False,1,,False,False
38,2005-02-06 12:00:00,428676.0,256.70725,-17.750511,101288.2,13.79853,2005.0,2.0,6.0,12.0,2-6,37.0,2,False,False,False,1,,False,False
39,2005-02-06 18:00:00,,,,,,,,,,,,2,False,False,False,1,,False,False
40,2005-02-07 00:00:00,429755.0,257.25,-17.052122,101258.5,13.78718,2005.0,2.0,7.0,0.0,2-7,38.0,2,False,False,False,1,,False,False
41,2005-02-07 06:00:00,429767.0,258.0,-16.894737,101232.1,15.49434,2005.0,2.0,7.0,6.0,2-7,38.0,2,False,False,False,1,,False,False
42,2005-02-07 12:00:00,430870.0,260.04268,-16.264688,100904.9,27.79506,2005.0,2.0,7.0,12.0,2-7,38.0,2,False,False,False,1,,False,False
43,2005-02-07 18:00:00,429789.0,259.707262,-17.193069,101066.3,17.294,2005.0,2.0,7.0,18.0,2-7,38.0,2,False,False,False,1,,False,False
44,2005-02-08 00:00:00,429785.0,259.5,-16.97789,101014.0,19.35265,2005.0,2.0,8.0,0.0,2-8,39.0,2,False,False,True,1,,False,False
