dt,ncol,lon,lat,pres,wspd,year,month,day,hour,mdstr,doy,stmnum,isgen,islys
2005-02-01 06:00:00,297965.0,185.792728,-19.201424,99972.99,35.44665,2005.0,02,01,6.0,2-1,32.0,0,True,False
2005-02-01 12:00:00,297966.0,186.0,-19.194777,99063.14,37.80925,2005.0,02,01,12.0,2-1,32.0,0,False,False
2005-02-01 18:00:00,296892.0,186.0,-19.401177,99372.29,36.64288,2005.0,02,01,18.0,2-1,32.0,0,False,False
2005-02-02 00:00:00,296899.0,186.207317,-19.394232,98985.7,36.12954,2005.0,02,02,0.0,2-2,33.0,0,False,False
2005-02-02 06:00:00,296892.0,186.0,-19.401177,98388.58,44.00682,2005.0,02,02,6.0,2-2,33.0,0,False,False
2005-02-02 12:00:00,297964.0,185.457314,-19.211687,99256.52,43.79544,2005.0,02,02,12.0,2-2,33.0,0,False,False
2005-02-02 18:00:00,296882.0,185.042726,-19.430189,99262.14,38.47651,2005.0,02,02,18.0,2-2,33.0,0,False,False
2005-02-03 00:00:00,296874.0,184.5,-19.444404,98185.95,45.02207,2005.0,02,03,0.0,2-3,34.0,0,False,False
2005-02-03 06:00:00,297939.0,183.75,-19.254446,98831.37,40.80938,2005.0,02,03,6.0,2-3,34.0,0,False,False
2005-02-03 12:00:00,297940.0,183.207305,-18.929717,99069.92,44.42892,2005.0,02,03,12.0,2-3,34.0,0,False,False
2005-02-03 18:00:00,297933.0,183.0,-18.933166,98175.58,42.80674,2005.0,02,03,18.0,2-3,34.0,0,False,False
2005-02-04 00:00:00,297928.0,182.457303,-19.276277,98726.32,42.72327,2005.0,02,04,0.0,2-4,35.0,0,False,False
2005-02-04 06:00:00,296845.0,181.7073,-19.491996,98896.21,38.646,2005.0,02,04,6.0,2-4,35.0,0,False,False
2005-02-04 12:00:00,296838.0,181.5,-19.493822,99211.21,36.09241,2005.0,02,04,12.0,2-4,35.0,0,False,False
2005-02-04 18:00:00,296834.0,181.292711,-19.702664,98968.98,37.38526,2005.0,02,04,18.0,2-4,35.0,0,False,False
2005-02-05 00:00:00,296839.0,181.707301,-20.034518,99009.57,34.49065,2005.0,02,05,0.0,2-5,36.0,0,False,False
2005-02-05 06:00:00,295763.0,182.042715,-20.44537,99128.6,36.94574,2005.0,02,05,6.0,2-5,36.0,0,False,False
2005-02-05 12:00:00,295783.0,183.207307,-20.220852,99154.03,37.75887,2005.0,02,05,12.0,2-5,36.0,0,False,False
2005-02-05 18:00:00,295788.0,184.5,-20.734072,97630.88,44.09345,2005.0,02,05,18.0,2-5,36.0,0,False,False
2005-02-06 00:00:00,294724.0,185.457319,-21.453959,98381.94,44.08776,2005.0,02,06,0.0,2-6,37.0,0,False,False
2005-02-06 06:00:00,293666.0,187.292741,-21.796387,98250.63,45.10234,2005.0,02,06,6.0,2-6,37.0,0,False,False
2005-02-06 12:00:00,292599.0,188.25,-22.29005,98010.77,44.03484,2005.0,02,06,12.0,2-6,37.0,0,False,False
2005-02-06 18:00:00,293680.0,188.457335,-22.073697,98962.62,36.96363,2005.0,02,06,18.0,2-6,37.0,0,False,False
2005-02-07 00:00:00,293692.0,189.207337,-21.700844,99433.33,31.56223,2005.0,02,07,0.0,2-7,38.0,0,False,False
2005-02-07 06:00:00,293697.0,189.75,-21.464603,99631.25,31.62397,2005.0,02,07,6.0,2-7,38.0,0,False,False
2005-02-07 12:00:00,293704.0,189.95734,-21.452342,99737.83,31.85325,2005.0,02,07,12.0,2-7,38.0,0,False,False
2005-02-07 18:00:00,293702.0,190.292755,-21.636846,99695.8,35.78474,2005.0,02,07,18.0,2-7,38.0,0,False,False
2005-02-08 00:00:00,293701.0,189.957341,-21.657382,99808.48,30.92365,2005.0,02,08,0.0,2-8,39.0,0,False,False
2005-02-08 06:00:00,293692.0,189.207337,-21.700844,100049.6,30.19347,2005.0,02,08,6.0,2-8,39.0,0,False,False
2005-02-08 12:00:00,293673.0,188.25,-22.084301,100287.7,29.59345,2005.0,02,08,12.0,2-8,39.0,0,False,True
2005-02-01 18:00:00,209842.0,71.457273,9.966129,101552.5,14.64686,2005.0,02,01,18.0,2-1,32.0,1,True,False
2005-02-02 00:00:00,,,,,,,,,,,,1,False,False
2005-02-02 06:00:00,,,,,,,,,,,,1,False,False
2005-02-02 12:00:00,205570.0,75.957286,6.751337,101039.8,25.89183,2005.0,02,02,12.0,2-2,33.0,1,False,False
2005-02-02 18:00:00,,,,,,,,,,,,1,False,False
2005-02-03 00:00:00,208835.0,77.792695,9.533634,101110.4,22.77309,2005.0,02,03,0.0,2-3,34.0,1,False,False
2005-02-03 06:00:00,206610.0,72.75,7.685392,101088.3,22.32201,2005.0,02,03,6.0,2-3,34.0,1,False,False
2005-02-03 12:00:00,206592.0,71.25,7.621062,100677.7,26.76892,2005.0,02,03,12.0,2-3,34.0,1,False,False
2005-02-03 18:00:00,207659.0,70.292693,7.968517,101161.3,20.33941,2005.0,02,03,18.0,2-3,34.0,1,False,False
2005-02-04 00:00:00,207647.0,68.792691,8.399502,101083.6,19.98407,2005.0,02,04,0.0,2-4,35.0,1,False,False
2005-02-04 06:00:00,207629.0,67.29269,8.312547,101046.4,22.23922,2005.0,02,04,6.0,2-4,35.0,1,False,False
2005-02-04 12:00:00,208686.0,66.0,8.423276,100937.9,23.96387,2005.0,02,04,12.0,2-4,35.0,1,False,False
2005-02-04 18:00:00,,,,,,,,,,,,1,False,False
2005-02-05 00:00:00,,,,,,,,,,,,1,False,False
2005-02-05 06:00:00,208634.0,61.292684,8.387653,101266.3,22.07083,2005.0,02,05,6.0,2-5,36.0,1,False,False
2005-02-05 12:00:00,208619.0,59.792682,8.446612,101150.1,20.42767,2005.0,02,05,12.0,2-5,36.0,1,False,False
2005-02-05 18:00:00,209673.0,57.75,8.90842,101451.1,20.53388,2005.0,02,05,18.0,2-5,36.0,1,False,False
2005-02-06 00:00:00,210726.0,55.5,9.309631,101418.3,18.89379,2005.0,02,06,0.0,2-6,37.0,1,False,True
